                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0179,                 19.305,                 4.1058,                 0.0003,                0.06009,                 0.0002,                 0.0001,                 4.4035,                 59.893,                 3.5672,                0.00026,                0.00026,                0.00026
                      2,                 3.8553,                 7.9954,                 4.1304,                0.00029,                0.06009,                0.00021,                 0.0001,                 4.4086,                 56.515,                 3.5642,             0.00053733,             0.00053733,             0.00053733
                      3,                 3.7685,                  6.946,                 4.1226,                0.00031,                0.06438,                0.00024,                0.00011,                 4.4008,                 46.526,                 3.5568,             0.00081188,             0.00081188,             0.00081188
                      4,                 3.6388,                  6.319,                 3.6425,                 0.0006,                0.04721,                0.00037,                0.00015,                 4.3677,                 21.089,                 3.5768,              0.0010837,              0.0010837,              0.0010837
                      5,                 3.3661,                 5.9292,                 3.2919,                0.00048,                0.02146,                0.00033,                0.00017,                 4.4506,                 10.014,                 3.4951,              0.0013527,              0.0013527,              0.0013527
                      6,                 3.5406,                 5.1435,                  2.875,                0.00095,                0.00858,                0.00547,                0.00221,                 4.4857,                 4.6261,                 3.3223,              0.0016189,              0.0016189,              0.0016189
                      7,                 3.2291,                  4.181,                 2.9017,                0.31178,                0.08584,                0.10446,                0.04092,                 3.2973,                 3.7693,                 2.5793,              0.0018824,              0.0018824,              0.0018824
                      8,                 3.0972,                 3.9452,                  2.716,                0.01581,                0.48927,                0.01275,                0.00473,                 2.8838,                  125.7,                 2.0292,              0.0019307,              0.0019307,              0.0019307
                      9,                 3.1084,                 3.4562,                 2.4451,                0.37391,                0.36052,                 0.2985,                0.07877,                  2.881,                 2.4609,                 1.9076,              0.0019307,              0.0019307,              0.0019307
                     10,                 3.0021,                 3.0566,                 2.6723,                0.43973,                0.38627,                0.28779,                0.06936,                 3.4244,                 5.3642,                  2.593,              0.0019208,              0.0019208,              0.0019208
                     11,                 3.0968,                 2.8687,                 2.3993,                0.46477,                0.49785,                0.46734,                0.14554,                 2.7319,                 7.2797,                 2.6578,              0.0019109,              0.0019109,              0.0019109
                     12,                  2.959,                 2.7765,                 2.3257,                0.76104,                0.39056,                0.50194,                0.15711,                  2.629,                 3.8091,                 1.7672,               0.001901,               0.001901,               0.001901
                     13,                  2.862,                 2.6467,                 2.2014,                0.70963,                0.51396,                0.60424,                0.22166,                 2.2827,                 6.8425,                 1.5857,              0.0018911,              0.0018911,              0.0018911
                     14,                 2.7727,                  2.362,                 2.0744,                0.72307,                0.56031,                0.60589,                0.22842,                 2.2765,                 2.6549,                 1.4799,              0.0018812,              0.0018812,              0.0018812
                     15,                 2.6566,                 2.3138,                 1.9916,                 0.5786,                0.58798,                0.57697,                0.25636,                 2.2401,                  5.982,                 1.4769,              0.0018713,              0.0018713,              0.0018713
                     16,                 2.6177,                 2.1453,                 1.9398,                0.56739,                0.60515,                0.55248,                0.18151,                 2.4601,                 3.1905,                 1.9609,              0.0018614,              0.0018614,              0.0018614
                     17,                 2.6095,                 2.1286,                 1.8533,                0.85241,                0.69405,                0.75678,                0.29003,                  2.249,                 1.7443,                 1.4354,              0.0018515,              0.0018515,              0.0018515
                     18,                 2.5525,                 2.0605,                 1.8656,                0.34941,                0.43348,                0.28174,                0.09255,                 2.2588,                 8.1222,                 1.5011,              0.0018416,              0.0018416,              0.0018416
                     19,                 2.5395,                 1.9628,                 1.8174,                0.64023,                0.69099,                0.70326,                0.25683,                 2.3894,                  2.372,                 1.4319,              0.0018317,              0.0018317,              0.0018317
                     20,                 2.5165,                 1.9304,                 1.8931,                0.77755,                0.51931,                0.65043,                0.23474,                 2.1594,                 1.9649,                 1.4169,              0.0018218,              0.0018218,              0.0018218
                     21,                 2.3748,                  1.841,                 1.7179,                0.54774,                0.69099,                0.54563,                0.25803,                 2.0189,                 1.8232,                 1.4002,              0.0018119,              0.0018119,              0.0018119
                     22,                 2.4672,                 1.9456,                 1.8156,                0.73962,                0.72532,                0.69179,                0.27144,                 2.2887,                 1.6572,                 1.4515,               0.001802,               0.001802,               0.001802
                     23,                 2.4461,                 1.8772,                 1.9168,                 0.7191,                0.61527,                 0.7242,                0.28438,                 2.1928,                 1.3957,                 1.4101,              0.0017921,              0.0017921,              0.0017921
                     24,                 2.4095,                 1.8343,                 1.8504,                0.61817,                0.63232,                0.68939,                0.23406,                 2.1743,                 1.5428,                 1.3812,              0.0017822,              0.0017822,              0.0017822
                     25,                 2.3823,                 1.8023,                 1.8258,                0.74144,                0.63998,                0.71731,                0.26213,                  2.088,                 1.5149,                  1.354,              0.0017723,              0.0017723,              0.0017723
                     26,                 2.3275,                 1.7565,                 1.7576,                0.57044,                0.51865,                0.52092,                0.16841,                 2.0449,                 1.5258,                 1.3624,              0.0017624,              0.0017624,              0.0017624
                     27,                 2.4012,                 1.6398,                 1.8169,                 0.7617,                0.75966,                0.81101,                0.38833,                 2.0081,                 1.2013,                 1.3543,              0.0017525,              0.0017525,              0.0017525
                     28,                 2.2954,                 1.5893,                 1.6974,                0.88828,                0.72532,                0.84193,                0.39404,                 1.9202,                 1.2473,                 1.3017,              0.0017426,              0.0017426,              0.0017426
                     29,                 2.3027,                 1.5905,                 1.7008,                0.90384,                0.72611,                0.84921,                0.39376,                 1.9805,                 1.2135,                 1.3068,              0.0017327,              0.0017327,              0.0017327
                     30,                 2.2767,                  1.563,                 1.7267,                0.85362,                0.77587,                0.84022,                0.35182,                 2.1702,                 1.2797,                 1.3851,              0.0017228,              0.0017228,              0.0017228
